ts,o,h,l,c,v
2026-07-27T17:55:00+00:00,0.76,0.76,0.76,0.76,0
2026-07-27T18:00:00+00:00,0.76,0.76,0.76,0.76,0
2026-07-27T18:05:00+00:00,0.76,0.76,0.76,0.76,0
2026-07-27T18:10:00+00:00,0.76,0.76,0.76,0.76,0
2026-07-27T18:15:00+00:00,0.79,0.79,0.79,0.79,100
2026-07-27T18:20:00+00:00,0.79,0.79,0.79,0.79,0
2026-07-27T18:25:00+00:00,0.79,0.79,0.79,0.79,0
2026-07-27T18:30:00+00:00,0.79,0.79,0.79,0.79,0
2026-07-27T18:35:00+00:00,0.79,0.79,0.79,0.79,0
2026-07-27T18:40:00+00:00,0.79,0.79,0.79,0.79,0
2026-07-27T18:45:00+00:00,0.79,0.79,0.79,0.79,0
2026-07-27T18:50:00+00:00,0.79,0.79,0.79,0.79,0
2026-07-27T18:55:00+00:00,0.79,0.79,0.79,0.79,0
2026-07-27T19:00:00+00:00,0.79,0.79,0.79,0.79,0
2026-07-27T19:05:00+00:00,0.9,0.9,0.89,0.89,10
2026-07-27T19:10:00+00:00,0.89,0.89,0.89,0.89,0
2026-07-27T19:15:00+00:00,0.92,0.92,0.92,0.92,1
2026-07-27T19:20:00+00:00,0.92,0.92,0.92,0.92,0
2026-07-27T19:25:00+00:00,0.92,0.92,0.92,0.92,0
2026-07-27T19:30:00+00:00,0.92,0.92,0.92,0.92,0
2026-07-27T19:35:00+00:00,0.92,0.92,0.92,0.92,0
2026-07-27T19:40:00+00:00,0.92,0.92,0.92,0.92,0
2026-07-27T19:45:00+00:00,0.92,0.92,0.92,0.92,0
2026-07-27T19:50:00+00:00,0.92,0.92,0.92,0.92,0
2026-07-27T19:55:00+00:00,0.92,0.92,0.92,0.92,0
2026-07-27T20:00:00+00:00,0.9,0.9,0.9,0.9,23
2026-07-27T20:05:00+00:00,0.9,0.9,0.9,0.9,0
2026-07-27T20:10:00+00:00,0.9,0.9,0.9,0.9,0
2026-07-28T13:30:00+00:00,0.54,0.54,0.54,0.54,1
2026-07-28T13:35:00+00:00,0.54,0.54,0.54,0.54,0
2026-07-28T13:40:00+00:00,0.54,0.54,0.54,0.54,0
2026-07-28T13:45:00+00:00,0.54,0.54,0.54,0.54,0
2026-07-28T13:50:00+00:00,0.43,0.43,0.43,0.43,2
2026-07-28T13:55:00+00:00,0.41,0.41,0.41,0.41,1
2026-07-28T14:00:00+00:00,0.41,0.41,0.41,0.41,0
2026-07-28T14:05:00+00:00,0.41,0.41,0.41,0.41,0
2026-07-28T14:10:00+00:00,0.41,0.41,0.41,0.41,0
2026-07-28T14:15:00+00:00,0.41,0.41,0.41,0.41,0
2026-07-28T14:20:00+00:00,0.41,0.41,0.41,0.41,0
2026-07-28T14:25:00+00:00,0.41,0.41,0.41,0.41,0
2026-07-28T14:30:00+00:00,0.41,0.41,0.41,0.41,0
2026-07-28T14:35:00+00:00,0.41,0.41,0.41,0.41,0
2026-07-28T14:40:00+00:00,0.41,0.41,0.41,0.41,0
2026-07-28T14:45:00+00:00,0.41,0.41,0.41,0.41,0
2026-07-28T14:50:00+00:00,0.41,0.41,0.41,0.41,0
2026-07-28T14:55:00+00:00,0.41,0.41,0.41,0.41,0
2026-07-28T15:00:00+00:00,0.41,0.41,0.41,0.41,0
2026-07-28T15:05:00+00:00,0.37,0.37,0.37,0.37,1
2026-07-28T15:10:00+00:00,0.42,0.42,0.42,0.42,2
2026-07-28T15:15:00+00:00,0.42,0.42,0.42,0.42,0
2026-07-28T15:20:00+00:00,0.42,0.42,0.42,0.42,0
2026-07-28T15:25:00+00:00,0.42,0.42,0.42,0.42,0
2026-07-28T15:30:00+00:00,0.42,0.42,0.42,0.42,0
2026-07-28T15:35:00+00:00,0.42,0.42,0.42,0.42,0
2026-07-28T15:40:00+00:00,0.42,0.42,0.42,0.42,0
2026-07-28T15:45:00+00:00,0.42,0.42,0.42,0.42,0
2026-07-28T15:50:00+00:00,0.42,0.42,0.42,0.42,0
2026-07-28T15:55:00+00:00,0.42,0.42,0.42,0.42,0
2026-07-28T16:00:00+00:00,0.42,0.42,0.42,0.42,0
2026-07-28T16:05:00+00:00,0.42,0.42,0.42,0.42,0
2026-07-28T16:10:00+00:00,0.42,0.42,0.42,0.42,0
2026-07-28T16:15:00+00:00,0.42,0.42,0.42,0.42,0
