ts,o,h,l,c,v
2026-07-01T13:35:00+00:00,1.92,2.89,1.92,2.89,2
2026-07-01T13:40:00+00:00,2.89,2.89,2.89,2.89,0
2026-07-01T13:45:00+00:00,2.89,2.89,2.89,2.89,0
2026-07-01T13:50:00+00:00,2.89,2.89,2.89,2.89,0
2026-07-01T13:55:00+00:00,2.89,2.89,2.89,2.89,0
2026-07-01T14:00:00+00:00,2.07,2.4,2.07,2.4,2
2026-07-01T14:05:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T14:10:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T14:15:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T14:20:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T14:25:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T14:30:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T14:35:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T14:40:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T14:45:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T14:50:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T14:55:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T15:00:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T15:05:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T15:10:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T15:15:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T15:20:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T15:25:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T15:30:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T15:35:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T15:40:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T15:45:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T15:50:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T15:55:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T16:00:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T16:05:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T16:10:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T16:15:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T16:20:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T16:25:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T16:30:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T16:35:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T16:40:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T16:45:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T16:50:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T16:55:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T17:00:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T17:05:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T17:10:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T17:15:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T17:20:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T17:25:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T17:30:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T17:35:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T17:40:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T17:45:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T17:50:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T17:55:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T18:00:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T18:05:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T18:10:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T18:15:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T18:20:00+00:00,2.4,2.4,2.4,2.4,0
2026-07-01T18:25:00+00:00,2.45,2.45,2.45,2.45,2
2026-07-01T18:30:00+00:00,2.45,2.45,2.45,2.45,0
2026-07-01T18:35:00+00:00,2.45,2.45,2.45,2.45,0
2026-07-01T18:40:00+00:00,2.45,2.45,2.45,2.45,0
2026-07-01T18:45:00+00:00,2.45,2.45,2.45,2.45,0
2026-07-01T18:50:00+00:00,2.45,2.45,2.45,2.45,0
2026-07-01T18:55:00+00:00,2.45,2.45,2.45,2.45,0
2026-07-01T19:00:00+00:00,2.45,2.45,2.45,2.45,0
2026-07-01T19:05:00+00:00,2.45,2.45,2.45,2.45,0
2026-07-01T19:10:00+00:00,2.45,2.45,2.45,2.45,0
2026-07-01T19:15:00+00:00,2.45,2.45,2.45,2.45,0
2026-07-01T19:20:00+00:00,2.24,2.24,2.24,2.24,1
2026-07-01T19:25:00+00:00,2.24,2.24,2.24,2.24,0
2026-07-01T19:30:00+00:00,2.24,2.24,2.24,2.24,0
2026-07-01T19:35:00+00:00,2.24,2.24,2.24,2.24,0
2026-07-01T19:40:00+00:00,2.24,2.24,2.24,2.24,0
2026-07-01T19:45:00+00:00,2.24,2.24,2.24,2.24,0
2026-07-01T19:50:00+00:00,2.24,2.24,2.24,2.24,0
2026-07-01T19:55:00+00:00,2.24,2.24,2.24,2.24,0
2026-07-02T13:30:00+00:00,2.24,2.24,2.24,2.24,0
2026-07-02T13:35:00+00:00,2.24,2.24,2.24,2.24,0
2026-07-02T13:40:00+00:00,2.24,2.24,2.24,2.24,0
2026-07-02T13:45:00+00:00,2.24,2.24,2.24,2.24,0
2026-07-02T13:50:00+00:00,2.24,2.24,2.24,2.24,0
2026-07-02T13:55:00+00:00,2.24,2.24,2.24,2.24,0
2026-07-02T14:00:00+00:00,2.24,2.24,2.24,2.24,0
2026-07-02T14:05:00+00:00,2.24,2.24,2.24,2.24,0
2026-07-02T14:10:00+00:00,2.24,2.24,2.24,2.24,0
2026-07-02T14:15:00+00:00,2.24,2.24,2.24,2.24,0
2026-07-02T14:20:00+00:00,2.24,2.24,2.24,2.24,0
2026-07-02T14:25:00+00:00,2.24,2.24,2.24,2.24,0
2026-07-02T14:30:00+00:00,2.24,2.24,2.24,2.24,0
2026-07-02T14:35:00+00:00,2.24,2.24,2.24,2.24,0
2026-07-02T14:40:00+00:00,2.24,2.24,2.24,2.24,0
2026-07-02T14:45:00+00:00,2.24,2.24,2.24,2.24,0
2026-07-02T14:50:00+00:00,2.24,2.24,2.24,2.24,0
