ts,o,h,l,c,v
2026-07-07T14:40:00+00:00,12.4,12.4,12.4,12.4,0
2026-07-07T14:45:00+00:00,12.4,12.4,12.4,12.4,0
2026-07-07T14:50:00+00:00,13.34,13.34,13.34,13.34,2
2026-07-07T14:55:00+00:00,13.38,13.38,13.38,13.38,1
2026-07-07T15:00:00+00:00,13.1,13.1,13.1,13.1,1
2026-07-07T15:05:00+00:00,12.95,12.95,12.95,12.95,10
2026-07-07T15:10:00+00:00,12.95,12.95,12.95,12.95,0
2026-07-07T15:15:00+00:00,12.95,12.95,12.95,12.95,0
2026-07-07T15:20:00+00:00,12.95,12.95,12.95,12.95,0
2026-07-07T15:25:00+00:00,12.95,12.95,12.95,12.95,0
2026-07-07T15:30:00+00:00,12.95,12.95,12.95,12.95,0
2026-07-07T15:35:00+00:00,12.95,12.95,12.95,12.95,0
2026-07-07T15:40:00+00:00,12.95,12.95,12.95,12.95,0
2026-07-07T15:45:00+00:00,12.95,12.95,12.95,12.95,0
2026-07-07T15:50:00+00:00,12.95,12.95,12.95,12.95,0
2026-07-07T15:55:00+00:00,12.95,12.95,12.95,12.95,0
2026-07-07T16:00:00+00:00,12.95,12.95,12.95,12.95,0
2026-07-07T16:05:00+00:00,13.65,13.65,13.65,13.65,10
2026-07-07T16:10:00+00:00,13.65,13.65,13.65,13.65,0
2026-07-07T16:15:00+00:00,13.65,13.65,13.65,13.65,0
2026-07-07T16:20:00+00:00,12.68,12.68,12.68,12.68,1
2026-07-07T16:25:00+00:00,12.92,12.92,12.92,12.92,2
2026-07-07T16:30:00+00:00,12.92,12.92,12.92,12.92,0
2026-07-07T16:35:00+00:00,12.55,12.55,12.55,12.55,1
2026-07-07T16:40:00+00:00,12.55,12.55,12.55,12.55,0
2026-07-07T16:45:00+00:00,12.55,12.55,12.55,12.55,0
2026-07-07T16:50:00+00:00,12.53,12.53,12.53,12.53,1
2026-07-07T16:55:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T17:00:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T17:05:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T17:10:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T17:15:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T17:20:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T17:25:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T17:30:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T17:35:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T17:40:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T17:45:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T17:50:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T17:55:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T18:00:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T18:05:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T18:10:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T18:15:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T18:20:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T18:25:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T18:30:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T18:35:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T18:40:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T18:45:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T18:50:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T18:55:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T19:00:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T19:05:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T19:10:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T19:15:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T19:20:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T19:25:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T19:30:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T19:35:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T19:40:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T19:45:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T19:50:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-07T19:55:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-08T13:30:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-08T13:35:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-08T13:40:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-08T13:45:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-08T13:50:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-08T13:55:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-08T14:00:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-08T14:05:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-08T14:10:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-08T14:15:00+00:00,12.53,12.53,12.53,12.53,0
2026-07-08T14:20:00+00:00,11.43,11.43,11.43,11.43,4
2026-07-08T14:25:00+00:00,11.43,11.43,11.43,11.43,0
2026-07-08T14:30:00+00:00,11.43,11.43,11.43,11.43,0
2026-07-08T14:35:00+00:00,11.43,11.43,11.43,11.43,0
2026-07-08T14:40:00+00:00,11.43,11.43,11.43,11.43,0
2026-07-08T14:45:00+00:00,11.43,11.43,11.43,11.43,0
2026-07-08T14:50:00+00:00,11.43,11.43,11.43,11.43,0
2026-07-08T14:55:00+00:00,11.43,11.43,11.43,11.43,0
2026-07-08T15:00:00+00:00,11.43,11.43,11.43,11.43,0
