ts,o,h,l,c,v
2026-06-30T14:40:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T14:45:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T14:50:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T14:55:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T15:00:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T15:05:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T15:10:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T15:15:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T15:20:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T15:25:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T15:30:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T15:35:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T15:40:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T15:45:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T15:50:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T15:55:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T16:00:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T16:05:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T16:10:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T16:15:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T16:20:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T16:25:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T16:30:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T16:35:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T16:40:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T16:45:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T16:50:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T16:55:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T17:00:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T17:05:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T17:10:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T17:15:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T17:20:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T17:25:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T17:30:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T17:35:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T17:40:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T17:45:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T17:50:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T17:55:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T18:00:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T18:05:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T18:10:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T18:15:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T18:20:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T18:25:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T18:30:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T18:35:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T18:40:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T18:45:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T18:50:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T18:55:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T19:00:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T19:05:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T19:10:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T19:15:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T19:20:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T19:25:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T19:30:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T19:35:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T19:40:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T19:45:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T19:50:00+00:00,14.28,14.28,14.28,14.28,0
2026-06-30T19:55:00+00:00,11.8,11.8,11.8,11.8,4
2026-07-01T13:30:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T13:35:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T13:40:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T13:45:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T13:50:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T13:55:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T14:00:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T14:05:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T14:10:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T14:15:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T14:20:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T14:25:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T14:30:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T14:35:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T14:40:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T14:45:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T14:50:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T14:55:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T15:00:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T15:05:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T15:10:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T15:15:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T15:20:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T15:25:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T15:30:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T15:35:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T15:40:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T15:45:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T15:50:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T15:55:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T16:00:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T16:05:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T16:10:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T16:15:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T16:20:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T16:25:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T16:30:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T16:35:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T16:40:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T16:45:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T16:50:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T16:55:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T17:00:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T17:05:00+00:00,11.8,11.8,11.8,11.8,0
2026-07-01T17:10:00+00:00,12.0,12.0,12.0,12.0,1
2026-07-01T17:15:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T17:20:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T17:25:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T17:30:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T17:35:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T17:40:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T17:45:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T17:50:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T17:55:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T18:00:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T18:05:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T18:10:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T18:15:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T18:20:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T18:25:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T18:30:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T18:35:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T18:40:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T18:45:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T18:50:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T18:55:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T19:00:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T19:05:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T19:10:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T19:15:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T19:20:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T19:25:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T19:30:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T19:35:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T19:40:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T19:45:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T19:50:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-01T19:55:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T13:30:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T13:35:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T13:40:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T13:45:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T13:50:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T13:55:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T14:00:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T14:05:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T14:10:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T14:15:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T14:20:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T14:25:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T14:30:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T14:35:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T14:40:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T14:45:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T14:50:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T14:55:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T15:00:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T15:05:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T15:10:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T15:15:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T15:20:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T15:25:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T15:30:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T15:35:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T15:40:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T15:45:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T15:50:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T15:55:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T16:00:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T16:05:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T16:10:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T16:15:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T16:20:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T16:25:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T16:30:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T16:35:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T16:40:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T16:45:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T16:50:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T16:55:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T17:00:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T17:05:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T17:10:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T17:15:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T17:20:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T17:25:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T17:30:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T17:35:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T17:40:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T17:45:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T17:50:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T17:55:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T18:00:00+00:00,12.0,12.0,12.0,12.0,0
2026-07-02T18:05:00+00:00,10.52,10.52,10.52,10.52,1
2026-07-02T18:10:00+00:00,10.52,10.52,10.52,10.52,0
2026-07-02T18:15:00+00:00,10.53,10.53,10.53,10.53,1
2026-07-02T18:20:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-02T18:25:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-02T18:30:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-02T18:35:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-02T18:40:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-02T18:45:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-02T18:50:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-02T18:55:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-02T19:00:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-02T19:05:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-02T19:10:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-02T19:15:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-02T19:20:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-02T19:25:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-02T19:30:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-02T19:35:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-02T19:40:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-02T19:45:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-02T19:50:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-02T19:55:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T13:30:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T13:35:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T13:40:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T13:45:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T13:50:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T13:55:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T14:00:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T14:05:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T14:10:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T14:15:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T14:20:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T14:25:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T14:30:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T14:35:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T14:40:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T14:45:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T14:50:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T14:55:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T15:00:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T15:05:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T15:10:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T15:15:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T15:20:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T15:25:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T15:30:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T15:35:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T15:40:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T15:45:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T15:50:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T15:55:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T16:00:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T16:05:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T16:10:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T16:15:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T16:20:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T16:25:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T16:30:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T16:35:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T16:40:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T16:45:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T16:50:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T16:55:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T17:00:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T17:05:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T17:10:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T17:15:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T17:20:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T17:25:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T17:30:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T17:35:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T17:40:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T17:45:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T17:50:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T17:55:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T18:00:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T18:05:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T18:10:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T18:15:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T18:20:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T18:25:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T18:30:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T18:35:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T18:40:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T18:45:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T18:50:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T18:55:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T19:00:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T19:05:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T19:10:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T19:15:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T19:20:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T19:25:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T19:30:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T19:35:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T19:40:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T19:45:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T19:50:00+00:00,10.53,10.53,10.53,10.53,0
2026-07-06T19:55:00+00:00,14.31,14.31,14.31,14.31,1
2026-07-07T13:30:00+00:00,14.31,14.31,14.31,14.31,0
2026-07-07T13:35:00+00:00,14.31,14.31,14.31,14.31,0
2026-07-07T13:40:00+00:00,14.31,14.31,14.31,14.31,0
2026-07-07T13:45:00+00:00,14.31,14.31,14.31,14.31,0
2026-07-07T13:50:00+00:00,14.31,14.31,14.31,14.31,0
2026-07-07T13:55:00+00:00,14.31,14.31,14.31,14.31,0
2026-07-07T14:00:00+00:00,14.31,14.31,14.31,14.31,0
2026-07-07T14:05:00+00:00,14.31,14.31,14.31,14.31,0
2026-07-07T14:10:00+00:00,14.31,14.31,14.31,14.31,0
2026-07-07T14:15:00+00:00,14.31,14.31,14.31,14.31,0
2026-07-07T14:20:00+00:00,14.31,14.31,14.31,14.31,0
2026-07-07T14:25:00+00:00,14.31,14.31,14.31,14.31,0
2026-07-07T14:30:00+00:00,14.31,14.31,14.31,14.31,0
2026-07-07T14:35:00+00:00,14.31,14.31,14.31,14.31,0
2026-07-07T14:40:00+00:00,14.31,14.31,14.31,14.31,0
2026-07-07T14:45:00+00:00,14.31,14.31,14.31,14.31,0
2026-07-07T14:50:00+00:00,14.31,14.31,14.31,14.31,0
2026-07-07T14:55:00+00:00,14.31,14.31,14.31,14.31,0
2026-07-07T15:00:00+00:00,14.31,14.31,14.31,14.31,0
2026-07-07T15:05:00+00:00,14.31,14.31,14.31,14.31,0
2026-07-07T15:10:00+00:00,14.31,14.31,14.31,14.31,0
2026-07-07T15:15:00+00:00,13.31,13.31,13.31,13.31,1
2026-07-07T15:20:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T15:25:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T15:30:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T15:35:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T15:40:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T15:45:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T15:50:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T15:55:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T16:00:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T16:05:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T16:10:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T16:15:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T16:20:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T16:25:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T16:30:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T16:35:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T16:40:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T16:45:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T16:50:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T16:55:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T17:00:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T17:05:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T17:10:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T17:15:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T17:20:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T17:25:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T17:30:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T17:35:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T17:40:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T17:45:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T17:50:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T17:55:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T18:00:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T18:05:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T18:10:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T18:15:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T18:20:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T18:25:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T18:30:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T18:35:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T18:40:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T18:45:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T18:50:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T18:55:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T19:00:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T19:05:00+00:00,13.31,13.31,13.31,13.31,0
2026-07-07T19:10:00+00:00,12.82,12.82,12.82,12.82,1
2026-07-07T19:15:00+00:00,12.82,12.82,12.82,12.82,0
2026-07-07T19:20:00+00:00,12.82,12.82,12.82,12.82,0
2026-07-07T19:25:00+00:00,12.82,12.82,12.82,12.82,0
2026-07-07T19:30:00+00:00,12.82,12.82,12.82,12.82,0
2026-07-07T19:35:00+00:00,12.82,12.82,12.82,12.82,0
2026-07-07T19:40:00+00:00,12.82,12.82,12.82,12.82,0
2026-07-07T19:45:00+00:00,12.82,12.82,12.82,12.82,0
2026-07-07T19:50:00+00:00,12.82,12.82,12.82,12.82,0
2026-07-07T19:55:00+00:00,12.82,12.82,12.82,12.82,0
2026-07-08T13:30:00+00:00,12.82,12.82,12.82,12.82,0
2026-07-08T13:35:00+00:00,12.82,12.82,12.82,12.82,0
2026-07-08T13:40:00+00:00,12.82,12.82,12.82,12.82,0
2026-07-08T13:45:00+00:00,12.82,12.82,12.82,12.82,0
2026-07-08T13:50:00+00:00,12.82,12.82,12.82,12.82,0
2026-07-08T13:55:00+00:00,12.82,12.82,12.82,12.82,0
2026-07-08T14:00:00+00:00,12.82,12.82,12.82,12.82,0
2026-07-08T14:05:00+00:00,12.82,12.82,12.82,12.82,0
2026-07-08T14:10:00+00:00,12.82,12.82,12.82,12.82,0
2026-07-08T14:15:00+00:00,12.82,12.82,12.82,12.82,0
2026-07-08T14:20:00+00:00,12.82,12.82,12.82,12.82,0
2026-07-08T14:25:00+00:00,12.82,12.82,12.82,12.82,0
2026-07-08T14:30:00+00:00,12.82,12.82,12.82,12.82,0
2026-07-08T14:35:00+00:00,12.82,12.82,12.82,12.82,0
2026-07-08T14:40:00+00:00,10.12,10.12,10.12,10.12,1
2026-07-08T14:45:00+00:00,10.12,10.12,10.12,10.12,0
2026-07-08T14:50:00+00:00,10.12,10.12,10.12,10.12,0
2026-07-08T14:55:00+00:00,10.12,10.12,10.12,10.12,0
2026-07-08T15:00:00+00:00,10.12,10.12,10.12,10.12,0
2026-07-08T15:05:00+00:00,10.12,10.12,10.12,10.12,0
2026-07-08T15:10:00+00:00,10.12,10.12,10.12,10.12,0
2026-07-08T15:15:00+00:00,10.12,10.12,10.12,10.12,0
2026-07-08T15:20:00+00:00,10.12,10.12,10.12,10.12,0
